# format : <name> <packetKeyHex> <randKeyHex> <payloadHex> <frameHex>
# frame  : [code][len][randKey][checkSum][encoded payload]
empty_rk5A             77 5A - 7700005A23
rand_008               77 20 71A22F9AD6952D57B3031A3475F3EC1AF32E58BBA3A4A21A0E0CB34D81CB6C8106173A40925CEAEF80DEBF9B3EA1C2F547865A9A51B61C98C743E42E790D25D493E37D7BCBEB8D16DF4407593FE908C106D9A9D42F75D1AA06294DACDC4E229CFF4F21D6EA0BBDD5B87B1AF8DF9566861A706CF1A7A86657B304134E13560AE134A34ED655842233F3CC1F00856B834D6A93CC77 779400207EAEF65C10B5F9A778C3232E3362125F0A7F38FE438C2D711DF617C2BEF4A73F14AE191B03C895E570AE84B82B2B3A187F7E076BA30BBD2CDD1270D7F40DCDCFFFF1E451456702C3FE87AE25710F94E241510CF582D9DF8F6FECB044F07F222CCE1497AE3DCDFEBDA1FCAC6BC6638B466D9991B60C1ADAC5470727732FD1059464E31F3235A61B5F82F72A4D5C5FE35F4CE215412C
rand_009               77 17 86A8B61D619D84ED86AC19272B05751E6538797F3EF79B35081DDE89F1F0028ED7A3F7BC5D2098DB3E049623E1EAB2A12EEC30DCA16788B99CFF5E9C02E3B4D001525F292F5FB7E7D9F193DE970D75D42458012B6DD7B4C0E8FAD21227D9A0A7ADBDD4AB00E24ADB007BF8A176F72480F083D4B3CDD08711941622348A592DDA83EB3F8BF832B77D5AABADB4A62F296D3A7592BDE7D96976475B374A50EBC3332AE489123ED6689690889B5F4E3DEA63A9372191E37AC2B5A9D2F79CA4 77BD0017DE6E132E0B57B5CFB9AB32EE2AF9065803E5C4E0C8BAA2B3C4E588F72298BB9CBC432E1005196E8D36B5F7EF099058F84EEE17283E7DA80DAEA7ECC94B89039DFABA45D3890A3D1F7BE06D918E847AA3F59DB23C8EC548E9171F62E1EF2C8502ABC3E19F4F9DB6932ED1A8ED9AD9640DBB835F2349286AD5C8B32F1DF61DC6FCF7EFBB6485F8DCA5C69930D0E792930127DD050F6DBE6745C0D00AB1EF8B0F80F5023E0D2BC90EED1B7B1CE0F892D032B4C332D6C481EBCBEF6C52ED8167
rand_010               77 3F 784BB09885FB56C3ED491AA8EA97AAD12AE5D06B77EA3BFA9763824B71AC66AA728D58562F563B324C2E6ABD9CA8FD4489974857B724A579E41D741B13905FCCE999E3AA57780B1C79E67FC3BEAABEAD4A67A8CC98B8 7756003F0D48993A5C73FA7D72C67E9A51A075F4F58EBF60F99BB0F45D4B41A1AFC210667590A7EADCE927FA0C1EF362DB561011EBDEA39859236E8E4CF23098A02F8DFC406598BAB175EAC26D2F9CD84CF263FE0FC857D2D6E6D7
rand_011               77 2A 647EAE50C8798B96A516597B448851E93D1A62A098C4767333FCF7B463CE91EDDE2F3AD0D98F70716DADC2B33FAF92006072193E721FACFE0DFF3DF6619024B11CD820858EF998C60A062739901558CBAA95AE8394E2E8B69F17827AD7247F5CE42066562EE08BFB45C88FF57FE12AB1E32C28594536B203B3EDCF2810B22B57FFAF16 7783002A44B16C3CE21D91A75BC91751ACC4ECC24FA48D9B45E8C92F7639B475C42FB46161C0F241167193ACCCD4D543C62DE392495D79E1974C8C4FD607A3EB4D595B88F4913A0A2D3F42A8B237461B6F8C76FB49BE346BA7F059A9CB353E2CBE02E60AFC9B8E864AB148F54B5BF9097417FB68C47E34CD91F3F9E07896C19467DB534DA0F74534
rand_012               77 D7 6BCF7AE49B03CF543C911AD2DE90A7CF43934D0F282BE85363AE09352E37EB53C3EEA9AF298AAF564D146E4054ED55783012FC7C719FA2E75E92D94D45D280670F70F270172C7DCE3D3B16F536474A8926B878C270323E15CC5E31119BEED18778DBBCED10F12104338E78B92BA770494C0B29A9CCECA425D59B7847D993C6FA26B96EEFBAE283405896FD54DB14AE02CB9578F92ED5BC5FA0D015B8A6C9470A4091723EBD068CCAD3DA0D8DEF96ECFACADECB793DF66F0A5685722CAB993CFDEEEC2FA2C26622E9CDE2112D0F35127B726C8BF2A256A3701E43F66B900A8D1C5A510DE371082EE76E376FFDE2FA09CBEAC9212D04FD41 77F700D70043662DE5D0DDE1A8BFA8FDE9FD6A869E1D1074D488EA7AAAC9119039F28D3397A63E09C62A05C7528843E4CE6CDA1B19117439AB7287221148F45F5214317AFF51784FE3B26C6D85B2595A81B4252095DEBAC03F9CE630A06C2F77F3BED605BA4BEC7F425942B4450704AFA6DAF0D0BEA4C80B5A713735631607E0FD55251FB673E2595A81A91E48A66FA5C6C4ABD410E70C07967F1293DEA1A320861A0ED78F31C96BB2C055F2DE6179EC699FC48FA19FC8B44A7DC566BE00368C958B8F1FDBDF90C0F9560C5EC233454AC5F5ABD7A9DF923017DE122FF16325CD235F62BAB5342BEB8D1CC670225E68CF0673FD868F38E16319210760
rand_013               77 1D 90093CFC2522AFA94874C871F6990ADD6091C211ECB7325B7DF3EF0CF4328887F7136897F1E3FE0659CC1B6B38499B43E5DD47431305FAED0E6B0362425CCB77FD7CB80A76B950970D7DA206D428E1C74FBD532178DB69C706F030ADEFA9E8192CADF1FDBC8AEF84EBEF26EBD4 776D001D5E0280DAE9A1D6145A66798EFF6A7340FD82A920FBEE51B09D478B7A9C08D97CD9890BA797D2B9A87837631ECB1C337F975AB3115F2AA778413CA3F33A554194F14B38D513434FED737CF3221E541141C9F2D11103F98182DDAE08EAB8E3FAF96E5510DAF8B8ED23F240D6E2C8E0
rand_014               77 C0 922598AD532222C912EDE93D95040026960B0CDE17CC4021F67C8B6EC13F0FB0CBEFD61E8019 772600C03923ECCA99E0C1054240616288A456912230DF5F3F71A746BEFB7E55A6D799EB8F0D40C67E9947
rand_015               77 43 F549C0F3C48848CE1622024601ADC12F1546B744311EE8C99B36DE6E50669F7799A4DC1ADF836B28C0FAF8F06367F76108D3DC6EE3788FB72A801A656D10A5552685A57A91FE507CBD1A54A5E303C8FEF8AB63B57E55ECC29F58F1CA7C1FBC44C37583DA7FFFDF12350A7F2D2C881E500C54B2E1ABBEE7342343CB67289CCB8A98FBDE03549100314F53E250E4FEE09D6D5833BA11B96853DDCB1002168EBA70CE9F1EBEB6B99B23337CE4D6B46DF62E423F4D0759515769F6772964F1FD713E8DE9ABD14E81982E0A0DEC86 77CC0043D751C5D57F4FB8BF25D7C4A955122F7D352E18E3B3449252E48D7F73A87DD7D605D77ABB5B52676FF2393975F0AC9E8D68CBF687C3FAD4FBE873CDFD29AA86F1ACC9347469551011C796EEA06053128F435D6BB62FC4152A52F9EBF0E00CA62645BDABE610E99656EB73327C54F025B4A074B988714B48FC5F03A740C928DA9D0FCFBF59FDDFA3EBCF6EAFFE4EAA85644DCDFE3AF79F61BF37407F8E5CB8EBB02E422806B1042F2D21286E66BB76798EBAA0CC47DCF89C29EE5DB8F4530549848A75FAC2D074B07A35E08B9A3C
rand_016               77 B4 474B 770200B45F42A6
rand_017               77 3A 67922A8B9CBC95CF7C555FF2D73CFC62EE04C3F0DF9BFC8F64293A58BD3BEBD2EB212D711F94E35C729D0873D6B244914D21BD0E59B23089B38740E43F480E8F407D090AC93B08A57403968B55E78CFE31EEE6E4ECBACF834168FE89B6B8454FCE6E675E80F82B33E850AE3F3D24FD320335E37981FD000576941B4F08D4BA99FDBCEF762D12748C374CFA9974B1BFB429BC5FD601C1EC98BAD2403E1EE492F5352E4859B9D20C 77A7003A0D504B53900E745CE19F36BB84DD425E66CD3CBD70AB05E63C37AFC4DD122AF6CE105F848C3A38764E216D0C406B54107F56CAF06620D83F4D5B9010EA06E64725C86C42106A3B67A21EE1B56AE117688F220541C92E0F943AB8AA355F6C0B44128F068B307AB83E61894B461A1AAA38463EA354B0BC85951436546ECDAD5F5A0CE2C4860C6A5ED112A39C9ACBB93CB1B0453A5958696B78C54DFD280D355F0A80D2EAA9173F63AE
rand_018               77 80 BF22A0E3D6F90C0D4C0001524FBAC375EC155FE030F8EBDE8D1B0F0A801BC50871CE5C72DBD4C315AC6E045EEF930F0FA841B936FF120460A10FA10A64C8B3582AA5D60A077760ABA652E70BE89F03F0CF6D54099B08C72332CD169FC53C8E24B14F1591A30A6B360054B043840527802940393F4A03BD9008FC76B3ED9FDDD3CF7521F1F7B76D1E831B69ED09EE03287D636FC2552B6C0DEA45CA2D221829CD4CBF03104BA4EDCAF75019F1C081204E957DFE7804A75E03A25019F5ADCFF979F0D4C2D8E7F973A4249AC937F1E7055C3737EF4B9EA01BDBF6C46BF3D6EDD541825D662F12DF8713D1A2 77EA00809AC83E19534A10E39BD20D74DB9E139EC6D17FEDE5709F3CB9C85C429675EDC7B3B321F00F5EB166CCB5BAC0703891C8DE4FC339DF83E51CEDE4AC08A2EF1A1D00049B692B3B1406F3EDD93984E64DA61D6C068161B7FD5B78561FF7B615AA2EB2ACC3A2CE9E6ADCF4E780E6FB7BEE8DBC37E44F7154406888BBEC94737CFEA41D5A6E76A78802E01468F90AE010FCFA2060555CFBF43A75DD767E49854E8F8412D751AB3B317B2B5BB17B537C58D7074B77EA940E3BF9BE22F7A60BC56FBE571562275FC1B98073029C6E847D30D0E43420ED0C9A61D2EFC3B4397C6E099B034856B71F2652577EFC0008
rand_019               77 59 E4473AB82C3949226D3D29FBAF4AC80FE49A458CCC01F8FF167EB27FC8104628E0CA48CC3B2A14E4B7A712CD9589393121FDD2C394697F2F39FD7B50CF8B23A42F98B6FE2EB3 7746005947BEA5E0FA5E6CB3ABBAFB7B6FACB804265E2FCB049F52E9FC63E95F153FC88F45E30E1157B6BC26DD57F30B41064DA7A31ADBF86BD2B3D9EB509F1B401CD80F794474BEAB36B9
rand_020               77 1E C5055EB76F2AC541D33F034CA33C03A7C4846BEFAFBB200317D80CB8CC7B1FCEDF80932307D4752743876190C1238D4FFF3D08C23049442BE1B3D361DC2B6EC54C403B78233050CBB9FE73F7B5C6230F314EDD3219DD9805D4509260276A4E48566CDD 7763001E8AD4B36F382D3CC39DCB8CE734917E917D56E52CD85E27977C897E82608BE199DF89914B6EC18477AB0BBA5DDA992F05C02B7B2E432DA0DA4D0056E4B13F688A73F1D54B4177EBBECE2E04EAC1E8B3D282F2D8A838DC39996464ACF9AC7B4CF6D2611C83
rand_021               77 E8 E55E157CCCC1EA49CCD0CFA3DF6FA8341E22793AD8D11F75E1C83F432C027D0A9CA7EED618D3CF43DE99779E19488A47B5EC70597218058D37E3925CAA31FD64FD343C0D0A320F6CA388EF6823EF411B49FED07B47F07A3915A82AE90BF20664AF0CE96ACC65138CC4A41F4926EC3678835E83E67EE0E63F231DED327ACD00D05B37DB3583F4426B 778800E8223A664A228133E46A27C6E56BD72C72746B46077A3829485C8ABEC881D9BBF32BF26A194AF267CEF4E7957FE1477D06D258D0E57352899404E009914B9EA0B600DC3201A92EA912158C4BD8FF7E5A36B5B285B5D875BCCE21E647730053166CEA94C0886EDF3BDF252ECF9E4A179E086E2C9EEEF81BB4582BFAB8FE7AFBC720CFD27EBCBF4AD99B44
rand_022               77 73 EF8B4AC8D0250B166FE24071B268084CC47E1D4B5371A8BEFCB65A6803D0B8844875B60A76EC882E7EB9B529447C6D3D97171CF3670F3FA832357747C085DB58104E933A9293A3AC97B104930543F9F74F43A04EA472C7FD67F9021CE050FA79315F08E08BE3039AA11456345D855582D24BD1E27361E9C5824B246CCBFABDF091F03E85C9A450FF8628D296B50928E60A77D63A3AA54D096B 7799007318AB1E616503FF8C746F0BB7F3831C33E3751EDCDE07121B539D9E2B7D42EAFC01F81F28E44E69A02AB2FA65B84B35D6ED39A1B90BC863ED9ECD7AEE966E76F36175444E59888D6964B890FE3CBBBE7E0E95146D0D830014BECF56ED49A7A629503EAA04592F1D14AA119F9F4AD8E2A347533F123CF17C0C6A5AE86CABD75E6EB9F73AC9B412294CD3CEE01E49974FAB54BB5E1D6F09CD7439EB
rand_023               77 2A C1E84BCBC41A485DB0B49E34E42D36A14073981B2BDE0ED8DB62069AD10AB9CCA2A10ACDFDB2B18CEAB49855507E85EABA01FAD65A355AFE4F544C79234764A1985D016AA44371F3BA315C5B4B615FD68DC5F7007BF9A1711D773F91090ABEAD 7760002ABB1A27089695BEAABD45C3E289CD823465BBA4A8E9406713530BCBC423AA118A8353D0EA9BA815A0AB99A5245EBD0AF7D460713FBF824A7F38DD428AA172E2C99B4AD2C85AFDA399C42EE17F4AC5A9B393B5DC71689BBF774A970F31CEF92630FD
rand_024               77 C1 F64BC0B4D1BBA893B0EFDEBE0A8D4029564194112C58CD32A78B8A3B0D18E07FB21859ED190C3C425DB90F7DCF365B93E143AF6543DCE7EF4B0EAEC29A0A42B4FD7878D6910DFFA62B60E886F6F9666D5EABD3DD2D25F415F4C37E87ADAAD98C9E13235781E77827E18D71C1C7FFEA1E96240961345A7C0C6A5101728E202C705F92655830 778500C1FCC400B80953F7313349ED5DA437DE11F66B5C0D4851DB7AD27772D7E012F72E3B860EE3A2E249663CA59AF852857F38639B8D2ABB4F3EB6DC73D1DB10C1797DCE844100686F72A6611BF8614B9B03DFEDB5C38C9D9B45A5AB71A905C91CFA21671F69D245B1D34F2FDAC7739144B7BAEA3E2D2B1F07ECF5818719902C48B74818D555EABE14
rand_025               77 6F 2E49E7B1178A706F0E515458D99EA3053B7562406C8495C3C6069D43C1E7C4AD212917B06E86747BA557E3C82DB429190CDD9B415BD83127F75CDBC77AEE18796A4AC476B00431984B6F7A6145BE143FE669A60E29D31BDF6C29F5F86B8DE41C6F74970CC34CD24D6863C12C09048C0031E32BAFBCBA7C738C3592DE7D0C501C9A6E377991A67D2264F95F3062CDB8E25611D12AFED87B6CBE475B8296B2860352024EC5005A5BA0A7FAFD753663C06FBBBB4189D57441516C29F8EB9FC8AB58FEF681F9FAAF934E992D4204 77CC006F00BE48C78A2EB9C45F7AB9A864F57F260B89F98BC465CD0C877AE69112A24C2446751A0A45F4B8E2B43FB2589D91F2D488A8B44D0E7C9F23E1BEFA43AA2F154B4D9340FF75015284919749BD8DDE50B0201648DE354FDD30BB64AD13400A809CF3FBA844B73BD0DDBA13F4CA7BDB5CB34BB41F45ADA70C07605D8C43C1289EAA9134F00DAAAEF5D9DEBB1AE02D96F32C006A00AD393D123A05F0B55142F509B76B6386E16C2FAB6C922315AE15E89DB623E96F44FB4D84D4DA602E7E121503E64AF869AB5D8F29E0AEB1463B95
rand_026               77 64 CD2FC9AB23D42BD5F5AAFDA110218196EAA408137A1B66EE4DB5A35CD7E4F31107A9E8A81E11E744C000D9784B2D2264696ED721E1362B60B35B2B4D631DACBA95658179DA4AF109CAD9687653166C7A503ED3E85D4F334AEACA9BC98FB8804E9FEBFAE70086316C3AC01162CDE4461FC89C642F977065F71D8A599803BC59174FC4BDBA38CE8FB5383A3F05 778C00641C924DA8462C24721936095038F399F5A192972922C4AF21C3E9F22FB467A81513EFEA8606139B6B91DA0B70034AA8812E23287947E919C987175C11371B568AD424EBFACA7BD4FBA7685C519C09C224F42386A12C5F030B07A89F4C169CF0011CE18B646CBFDA9BF8B26E8AA0E86A6F5B6EC5A1483DB8AD8D8D277BB51515571863C083E45C3CE699CFAFE3A0
rand_027               77 83 979DF911F2C037A0A9AE7221CF8266311E5BCB7730BA2929F32BEED15728BE51493A0A24E561E4E8E7B61119634F6020B7633B8CBDAE7C9F4517820CC29183FF433F235EA5DB464E075823FA7FC69B900B77C88BCB60D8386DC11C73E8095CB26DF46E469AF606DDF2DCD04A8AB1BC8904DE9AFDC196E6FD5371E58F3157F173AFA010642D79CC9A8E8A3F93ECD66E1389E2D86A09194EF5DF6F04E70645E949F18C3440C42E3F8FC4A9995C0CFD5737 77B000831DEBFBAA53DC0C5D1F46128E98C9AB233FFF1F4CD1CCCC434E16E4727245177F334CFA5CAD514B415E749913710221940CE7FABC35493C11E83A9AFAD5747BA5F9989DED8A0E04163941D216733D12A6ADE5B14193DC5C222FD7DDFF8FB139ED963ADB6ECC5C13E0E32604CCE10EFFA433ACEE2C083D7FC7EFE6AD313B1E73F105A05E82F94BF7F3786FDF6065945CD40469EB81688298CAA6F10835E039E4DCF6D9833DD29F09C86BF811973495B8BE44
rand_028               77 6B AA580AB1B728FA02A204CD99EC3D1B010063C9DB08C37D83052E54F01FFCD8DC39512C25C99F8A74E76CF01CA45615459C54A249CF3E9F5EAC902B766F 773D006B32B6E3169BD544B3D5AF5AF24896F4037E756C2C38CC12171E94C97E4821CDB9E406F8588AE1B887379A88907B6CA217006919CF990A68FB65C96EB62345
rand_029               77 F0 63ADDCD73F2D61780BFAA9D596B69CC7A0319BB9403B091383B60AF956EF8A36A62E8273C58B76AD100443E6CFCD171A5CE7C17488F42BC23A4A24275946630FECE2C968808AE710CA2CC0898E8FD0F4C0E54D3DE8A3AC93CB90671B471CFEE57FF43C1F38D3BB88839BAA289DA4CE3F1354C77B29 777500F02F824CBF817144014275BCD16B5AFF05CEB2E536300517232E9BB4E839CB9AB0EC95221E712A78A9335069F86BCA44A82E2B2D05C760C1AC9B8785F4767EF63C39E13FEB89A2F19E2991C99A84DFFF8C2BF51E41DD54C411B9E3917338879884850AB7090A9A7FBA2F9C02979C59ACAE37303D649A9E
rand_030               77 03 6D7DB15A3EE81B619EA58A60FEB50EFAFF8178882AC2B519E19E5BB7951382ED3A99D586F8 77250003FB919D34DE122B777F0B31F548718C9375821FF8662299D97DDE004798DC72A8687614514DDB
rand_031               77 02 9624A7CDBF6EBEE2AD5C0EECE3F7C66ABAC4A923A6F56E02BCE1672371B2622EA55DCDE4E0D81DF7DB87701F42F7706AB8CE7BD41C 77350002D073F6F73347ABEC5F723765EB81F2B8FEEFC02DE7A42EE504A49986F0FEBA638023BFBFB3A0FF68DEA6C9B346E84D71CBCA49FC43CF
rand_032               77 B6 170A4A2FC4A5D2CB9394335EF74BA298F68C67EF382D928A5E1BE95E959F24976AE05D39E0AAC207BF6D8DA4308936F887C8E6D5602C30DAEDECFC988EB9C3F4A24502CC9E06E8DE5C3852E5B521FA045198EB68BEC8392AC032EE72E8F147E2684221322643AE170FFB6C6AAE9B5886FD035FF27B8815407EF5A934CBCF192964DEA2B1A1E87B7C82C0C27B4480B744321228B9BEF52CE4D03D14265EDC9F913D216D92377E 77A600B6553C17831CC2FDD5F6872C7B36C133226D8FD79D0C5065EF1FDE54F820A043B59CF6EC8CF7CFFF2C5A321392958D2600E43EBCBF7D4895255F875DBA6B57D887344CD94F1146872F59F061A3080B3B08C5C24130D325A929B31E697967EADAC6F22746615492F3DD843399BE2D0F2CB4D430AF1A5FB20336951B36ED222B9F7B7E56D4D329A58B97B75ABF2578AC2440BECB92248D2DCACA5C6B17824B0F3DA56471CF19E90935
rand_033               77 E5 5D8E3C5F9E567E0899CC2F06B095E6E05E131790CA9F42E29C136A1D0F8CC9E5476EC260E6A81798DA395C2078F3ACFBCF7E9AB936A16AE328BD8299529A1B7AE9663CC441FBE9BC9C6198514094E4FCCC8785EACB68805D8A269B502731145AEB8192D4D9D95C3E874DC9DF2D02F8ACFC35C06BB17EEA1869569E88B7D81C4CF4C4ADD8D6C9D8 778700E5D483C55D81233E4F27E69AD1ED697595A2C3BEB25B42E90C0C8E20D81CCD6FDE4DE31E176B0D12604764A3AC8CA6147A0E3B3F8315A191D1CD3D31994B7B34DABFC5FC279DB29FABF4E74A81AA0DD14BE64F860CA5010853BCD91984A26D2CA3C748930684098A8F6598198175145A4CFB3E2FBA3779A041050CF216D73BB25D43B59AA6E7829BCA
rand_034               77 53 04D81369C44ED3089034840F6B12DC6E56748A29179B19AC3973186054C5787B8EAE351C62503997A0C77D0DB55E71412D039EA676F989BDE7CDDB9D008BC0D3F4318D6D6464A5526E629DD5E6389E89E3350B567E9E64CCD6A36BB8589285F53D4B6285 776400537488617599138040D3B43C5294D16FB1FCF915D7956AD1ED2842CEF0E5FCAF8E61C864B78F1B589244B64E19D82E5F7963E6E3EADC2C0C53CACA8E1BB8650AA5761B2EF668322531D23DD1C4AD52E2AA5C153C862DACE49E7B584B65AA6365B645A345AD49
